  1.666667      3083    0.7929 1.088e+07 1.148e+08
  1.683333      3107      0.74 1.061e+07 1.109e+08
  1.700000      3124    0.7787 1.042e+07 1.104e+08
  1.716667      3127    0.7906 1.033e+07 1.096e+08
  1.733333      3098    0.7997 1.062e+07 1.104e+08
  1.750000      3147     1.016 9.766e+06 1.073e+08
  1.766667      3150    0.7534 1.095e+07 1.133e+08
  1.783333      3155    0.7624 9.992e+06  1.08e+08
  1.800000      3162    0.8405 9.846e+06 1.052e+08
  1.816667      3182    0.8045 1.022e+07 1.124e+08
  1.833333      3175    0.8182 1.107e+07 1.136e+08
  1.850000      3176    0.8201 1.036e+07 1.103e+08
  1.866667      3201     0.846 9.943e+06 1.045e+08
  1.883333      3215    0.8379 1.102e+07 1.151e+08
  1.900000      3235    0.8127 1.045e+07 1.085e+08
  1.916667      3226    0.8182 1.043e+07 1.073e+08
  1.933333      3252    0.8217 1.031e+07 1.091e+08
  1.950000      3238    0.8469  1.03e+07 1.082e+08
  1.966667      3260    0.8718 1.041e+07 1.091e+08
  1.983333      3234    0.8364 1.003e+07 1.059e+08
  2.000000      3265    0.8624 1.092e+07 1.113e+08
  2.016667      3307     0.827 9.875e+06 1.049e+08
  2.033333      3282    0.9188 1.016e+07 1.069e+08
  2.050000      3316    0.9499 1.056e+07 1.098e+08
  2.066667      3281     1.009 1.091e+07 1.147e+08
  2.083333      3329    0.7812 1.036e+07 1.126e+08
  2.100000      3278     0.842 1.088e+07 1.129e+08
  2.116667      3329    0.7868 1.022e+07 1.097e+08
  2.133333      3294    0.7942 9.547e+06  1.07e+08
  2.150000      3306      0.83 1.044e+07 1.126e+08
  2.166667      3313    0.8506 9.859e+06 1.136e+08
  2.183333      3324    0.7872 9.715e+06 1.131e+08
  2.200000      3306    0.7693 9.206e+06 1.092e+08
  2.216667      3296    0.8292 9.436e+06 1.099e+08
  2.233333      3347    0.8377  9.67e+06 1.138e+08
  2.250000      3338    0.8113  9.91e+06 1.157e+08
  2.266667      3327    0.8134 9.318e+06  1.16e+08
  2.283333      3339    0.8148  9.47e+06 1.132e+08
  2.300000      3344    0.8393 8.848e+06 1.085e+08
  2.316667      3355    0.8265 8.591e+06 1.072e+08
  2.333333      3373    0.8027 9.549e+06 1.137e+08
  2.350000      3369    0.8937  8.51e+06 1.073e+08
  2.366667      3383    0.9068 9.115e+06 1.165e+08
  2.383333      3376    0.8135 8.848e+06  1.12e+08
  2.400000      3361    0.8188 8.446e+06 1.103e+08
  2.416667      3373    0.7997 8.138e+06 1.124e+08
  2.433333      3338    0.8724 8.087e+06 1.112e+08
  2.450000      3408    0.8202 7.748e+06 1.081e+08
  2.466667      3367    0.8509 7.637e+06 1.135e+08
  2.483333      3351    0.8046 7.911e+06 1.145e+08
  2.500000      3353    0.8412 7.293e+06 1.058e+08
  2.516667      3357    0.8065 6.872e+06  1.08e+08
  2.533333      3354    0.8197 6.613e+06 1.073e+08
